T^{-1},T,E,M,C_v,Chi
1.980198,0.505000,-1.000000,0.250000,0.000000,2970.297030
1.960784,0.510000,-1.000000,0.250000,0.000000,2941.176471
1.941748,0.515000,-1.000000,0.250000,0.000000,2912.621359
1.923077,0.520000,-1.000000,0.250000,0.000000,2884.615385
1.904762,0.525000,-1.000000,0.250000,0.000000,2857.142857
1.886792,0.530000,-1.000000,0.250000,0.000000,2830.188679
1.869159,0.535000,-1.000000,0.250000,0.000000,2803.738318
1.851852,0.540000,-1.000000,0.250000,0.000000,2777.777778
1.834862,0.545000,-1.000000,0.250000,0.000000,2752.293578
1.818182,0.550000,-1.000000,0.250000,0.000000,2727.272727
1.801802,0.555000,-1.000000,0.250000,0.000000,2702.702703
1.785714,0.560000,-1.000000,0.250000,0.000000,2678.571429
1.769912,0.565000,-1.000000,0.250000,0.000000,2654.867257
1.754386,0.570000,-1.000000,0.250000,0.000000,2631.578947
1.739130,0.575000,-1.000000,0.250000,0.000000,2608.695652
1.724138,0.580000,-1.000000,0.250000,0.000000,2586.206897
1.709402,0.585000,-1.000000,0.250000,0.000000,2564.102564
1.694915,0.590000,-1.000000,0.250000,0.000000,2542.372881
1.680672,0.595000,-0.999935,0.249992,0.002919,2520.671496
1.666667,0.600000,-1.000000,0.250000,0.000000,2500.000000
1.652893,0.605000,-1.000000,0.250000,0.000000,2479.338843
1.639344,0.610000,-1.000000,0.250000,0.000000,2459.016393
1.626016,0.615000,-1.000000,0.250000,0.000000,2439.024390
1.612903,0.620000,-1.000000,0.250000,0.000000,2419.354839
1.600000,0.625000,-1.000000,0.250000,0.000000,2400.000000
1.587302,0.630000,-1.000000,0.250000,0.000000,2380.952381
1.574803,0.635000,-1.000000,0.250000,0.000000,2362.204724
1.562500,0.640000,-1.000000,0.250000,0.000000,2343.750000
1.550388,0.645000,-1.000000,0.250000,0.000000,2325.581395
1.538462,0.650000,-1.000000,0.250000,0.000000,2307.692308
1.526718,0.655000,-1.000000,0.250000,0.000000,2290.076336
1.515152,0.660000,-1.000000,0.250000,0.000000,2272.727273
1.503759,0.665000,-1.000000,0.250000,0.000000,2255.639098
1.492537,0.670000,-0.999810,0.249976,0.006643,2237.931402
1.481481,0.675000,-1.000000,0.250000,0.000000,2222.222222
1.470588,0.680000,-1.000000,0.250000,0.000000,2205.882353
1.459854,0.685000,-1.000000,0.250000,0.000000,2189.781022
1.449275,0.690000,-1.000000,0.250000,0.000000,2173.913043
1.438849,0.695000,-1.000000,0.250000,0.000000,2158.273381
1.428571,0.700000,-1.000000,0.250000,0.000000,2142.857143
1.418440,0.705000,-0.999940,0.249993,0.001920,2127.397106
1.408451,0.710000,-1.000000,0.250000,0.000000,2112.676056
1.398601,0.715000,-1.000000,0.250000,0.000000,2097.902098
1.388889,0.720000,-1.000000,0.250000,0.000000,2083.333333
1.379310,0.725000,-1.000000,0.250000,0.000000,2068.965517
1.369863,0.730000,-0.999930,0.249991,0.002087,2054.498794
1.360544,0.735000,-0.999965,0.249996,0.001033,2040.669469
1.351351,0.740000,-0.999915,0.249989,0.002462,2026.672784
1.342282,0.745000,-1.000000,0.250000,0.000000,2013.422819
1.333333,0.750000,-0.999700,0.249963,0.008277,1998.766397
1.324503,0.755000,-0.999740,0.249968,0.007108,1985.692925
1.315789,0.760000,-0.999835,0.249979,0.004495,1973.014657
1.307190,0.765000,-0.999900,0.249988,0.002707,1960.381176
1.298701,0.770000,-0.999840,0.249980,0.004249,1947.411116
1.290323,0.775000,-0.999970,0.249996,0.000797,1935.364490
1.282051,0.780000,-1.000000,0.250000,0.000000,1923.076923
1.273885,0.785000,-0.999875,0.249984,0.003205,1910.336942
1.265823,0.790000,-0.999885,0.249986,0.002914,1898.285240
1.257862,0.795000,-0.999785,0.249973,0.005326,1885.958414
1.250000,0.800000,-0.999910,0.249989,0.002230,1874.653050
1.242236,0.805000,-0.999820,0.249978,0.004364,1862.664446
1.234568,0.810000,-0.999945,0.249993,0.001334,1851.642444
1.226994,0.815000,-0.999940,0.249993,0.001437,1840.263754
1.219512,0.820000,-0.999830,0.249979,0.003976,1828.628926
1.212121,0.825000,-0.999385,0.249923,0.013568,1815.882825
1.204819,0.830000,-0.999800,0.249975,0.004552,1806.485782
1.197605,0.835000,-0.999880,0.249985,0.002721,1795.963976
1.190476,0.840000,-0.999925,0.249991,0.001688,1785.438928
1.183432,0.845000,-0.999460,0.249933,0.011895,1773.177459
1.176471,0.850000,-0.999955,0.249994,0.000992,1764.542612
1.169591,0.855000,-0.999725,0.249966,0.005853,1753.394033
1.162791,0.860000,-0.999785,0.249973,0.004551,1743.415045
1.156069,0.865000,-0.999885,0.249986,0.002431,1733.694034
1.149425,0.870000,-0.999680,0.249960,0.006548,1723.003583
1.142857,0.875000,-0.998945,0.249868,0.019721,1710.567260
1.136364,0.880000,-0.999870,0.249984,0.002651,1704.089863
1.129944,0.885000,-0.999635,0.249954,0.007184,1693.643318
1.123596,0.890000,-0.999610,0.249951,0.007571,1684.041838
1.117318,0.895000,-0.999655,0.249957,0.006653,1674.788846
1.111111,0.900000,-0.998635,0.249829,0.025258,1661.990993
1.104972,0.905000,-0.999750,0.249969,0.004762,1656.606628
1.098901,0.910000,-0.999715,0.249964,0.005350,1647.385778
1.092896,0.915000,-0.999420,0.249928,0.010441,1637.389368
1.086957,0.920000,-0.999735,0.249967,0.004877,1629.546455
1.081081,0.925000,-0.999708,0.249959,0.006221,1620.650765
1.075269,0.930000,-0.998930,0.249866,0.023411,1609.360270
1.069519,0.935000,-0.999515,0.249939,0.011008,1602.680742
1.063830,0.940000,-0.999645,0.249956,0.006200,1594.579975
1.058201,0.945000,-0.999570,0.249946,0.009165,1585.899974
1.052632,0.950000,-0.997998,0.249746,0.036126,1572.456755
1.047120,0.955000,-0.999680,0.249960,0.005434,1569.647243
1.041667,0.960000,-0.998860,0.249858,0.022917,1558.842883
1.036269,0.965000,-0.998520,0.249811,0.033392,1549.689163
1.030928,0.970000,-0.999350,0.249919,0.014416,1544.329103
1.025641,0.975000,-0.998940,0.249865,0.017801,1535.112503
1.020408,0.980000,-0.999233,0.249899,0.014575,1528.203494
1.015228,0.985000,-0.998075,0.249759,0.030252,1516.819987
1.010101,0.990000,-0.999075,0.249884,0.013867,1512.270140
1.005025,0.995000,-0.999110,0.249889,0.013427,1504.779437
1.000000,1.000000,-0.999165,0.249896,0.013524,1497.426123
